"run" "z" "theta" "phi" "event_time" "trigger_time" "source"
418.0 500.0 180.0 0.0 167.768 238.297 "sr90"
419.0 500.0 180.0 0.0 167.768 238.297 "sr90"
420.0 500.0 180.0 0.0 167.768 238.297 "sr90"
422.0 300.0 180.0 0.0 166.168 237.063 "sr90"
424.0 300.0 180.0 0.0 166.168 237.063 "sr90"
426.0 300.0 180.0 0.0 166.168 237.063 "sr90"
839.0 400.0 180.0 0.0 4.715 90.656 "sr90"
377.0 -500.0 180.0 0.0 169.141 238.796 "sr90"
378.0 -500.0 180.0 0.0 169.141 238.796 "sr90"
379.0 -500.0 180.0 0.0 169.141 238.796 "sr90"
380.0 -500.0 180.0 0.0 169.141 238.796 "sr90"
376.0 -500.0 180.0 0.0 169.141 238.796 "sr90"
840.0 -500.0 180.0 0.0 7.534 93.047 "sr90"
841.0 -500.0 180.0 0.0 7.534 93.047 "sr90"
346.0 0.0 180.0 0.0 165.962 235.837 "sr90"
381.0 0.0 180.0 0.0 165.962 235.837 "sr90"
382.0 0.0 180.0 0.0 165.962 235.837 "sr90"
386.0 0.0 180.0 0.0 165.962 235.837 "sr90"
387.0 0.0 180.0 0.0 165.962 235.837 "sr90"
837.0 0.0 180.0 0.0 4.981 91.426 "sr90"
843.0 0.0 180.0 0.0 4.981 91.426 "sr90"
844.0 0.0 180.0 0.0 4.981 91.426 "sr90"
374.0 0.0 135.0 22.5 165.714 235.133 "sr90"
375.0 0.0 135.0 22.5 165.714 235.133 "sr90"
851.0 0.0 135.0 112.5 4.84 91.149 "sr90"
972.0 0.0 135.0 22.5 100.84 187.149 "sr90"
973.0 0.0 135.0 22.5 100.84 187.149 "sr90"
975.0 0.0 135.0 22.5 100.84 187.149 "sr90"
976.0 0.0 135.0 22.5 100.84 187.149 "sr90"
978.0 0.0 135.0 22.5 100.84 187.149 "sr90"
979.0 0.0 135.0 22.5 100.84 187.149 "sr90"
980.0 0.0 135.0 22.5 100.84 187.149 "sr90"
981.0 0.0 135.0 22.5 100.84 187.149 "sr90"
982.0 0.0 135.0 22.5 100.84 187.149 "sr90"
413.0 0.0 90.0 37.5 168.84 240.463 "sr90"
414.0 0.0 90.0 37.5 168.84 240.463 "sr90"
966.0 0.0 90.0 22.5 100.75 187.049 "sr90"
967.0 0.0 90.0 22.5 100.75 187.049 "sr90"
968.0 0.0 90.0 22.5 100.75 187.049 "sr90"
969.0 0.0 90.0 22.5 100.75 187.049 "sr90"
853.0 0.0 75.0 112.5 4.626 90.812 "sr90"
854.0 0.0 75.0 112.5 4.626 90.812 "sr90"
983.0 0.0 75.0 22.5 100.626 186.812 "sr90"
984.0 0.0 75.0 22.5 100.626 186.812 "sr90"
986.0 0.0 75.0 22.5 100.626 186.812 "sr90"
987.0 0.0 75.0 22.5 100.626 186.812 "sr90"
988.0 0.0 75.0 22.5 100.626 186.812 "sr90"
989.0 0.0 75.0 22.5 100.626 186.812 "sr90"
371.0 500.0 180.0 0.0 165.803 234.389 "ru106"
368.0 -500.0 180.0 0.0 169.705 238.292 "ru106"
369.0 -500.0 180.0 0.0 169.705 238.292 "ru106"
370.0 -500.0 180.0 0.0 169.705 238.292 "ru106"
372.0 -500.0 180.0 0.0 169.705 238.292 "ru106"
359.0 0.0 180.0 0.0 166.082 235.029 "ru106"
360.0 0.0 180.0 0.0 166.082 235.029 "ru106"
361.0 0.0 180.0 0.0 166.082 235.029 "ru106"
362.0 0.0 180.0 0.0 166.082 235.029 "ru106"
367.0 0.0 180.0 0.0 166.082 235.029 "ru106"
373.0 0.0 135.0 22.5 166.092 234.69 "ru106"
